,month,jobs_total,jobs_goods,jobs_service,pch_total,pch_goods,pch_service,delta_total,delta_goods,delta_service,delta_service,jobs_resource,jobs_manufacturing,jobs_trade,jobs_professional,pch_resource,pch_manufacturing,pch_trade,pch_professional,delta_resource,delta_manufacturing,delta_trade,delta_professional,state,hc-key
104,2013M09,41108.0,6902.278704111398,34205.426606117566,0.2236669523923096,0.1811651634418876,0.23224771884544637,91.73916147917043,12.481911619930543,79.25724985924171,,2886.976872678786,4015.3018314326114,9618.99533347469,6765.033794778286,0.29087238697600437,0.10243456313101529,0.28569776055260565,0.2689155301198287,8.373063611017642,4.108848008911991,27.402964599212282,18.143435974980093,CSOR,us-csor
105,2013M10,41182.0,6915.973213009687,34266.21697071768,0.18119443285946613,0.1984056205978968,0.17772140455993846,74.48487349841162,13.694508898289314,60.79036460011412,,2894.0599836905785,4021.913229319108,9632.219202247521,6786.009672095187,0.2453469952885312,0.16465506614573577,0.13747661075176332,0.31006315641899374,7.083111011792425,6.611397886496434,13.223868772831338,20.97587731690055,CSOR,us-csor
106,2013M11,41270.0,6929.145080414796,34340.80423467581,0.2130997185232575,0.19045573196163623,0.21766996929326599,87.75913136323652,13.17186740510897,74.58726395812846,,2901.9732736031388,4027.171806811657,9652.147420159308,6804.121583610299,0.2734321319238564,0.13074815871747525,0.20689124171029416,0.26690076186584033,7.913289912560231,5.258577492549193,19.928217911787215,18.111911515112297,CSOR,us-csor
107,2013M12,41351.0,6944.863106707586,34406.089512830455,0.19627672384325834,0.22683933025469116,0.19010992785288838,81.00330444743304,15.718026292789546,65.28527815464622,,2910.6690790941207,4034.194027613465,9670.691173688943,6823.7683575638175,0.2996514671613548,0.17437102608661714,0.19212049632504336,0.2887481317330298,8.695805490981911,7.022220801808089,18.54375352963507,19.646773953518277,CSOR,us-csor
108,2014M01,41421.0,6951.477651731075,34469.53394900548,0.16942531371191283,0.09524370634605983,0.18439885808985146,70.05898119851918,6.614545023488972,63.444436175028386,,2917.040410985956,4034.4372407451187,9686.984370573253,6839.284831228391,0.21889578370819507,0.0060287911287648654,0.16848016953161515,0.22738863413167554,6.371331891835325,0.243213131653647,16.29319688430951,15.516473664573823,CSOR,us-csor
109,2014M02,41500.0,6963.400848964307,34537.03748519038,0.1917546924825153,0.17152032748408708,0.19583536082838915,79.42673341813497,11.923197233232713,67.50353618490044,,2926.3519838390444,4037.048865125263,9704.68030861299,6859.1760124315,0.31921302214463765,0.06473330044072245,0.18267747074613983,0.2908371517484465,9.311572853088364,2.611624380144349,17.695938039736575,19.891181203108317,CSOR,us-csor
110,2014M03,41580.0,6977.314151828602,34602.35026387973,0.19090420422966936,0.1998061459633549,0.1891093835635127,79.22608155364287,13.913302864294565,65.31277868934558,,2935.4995154127664,4041.8146364158356,9719.953422492355,6878.942852911307,0.3125916371044868,0.11805086957807909,0.15737884601731977,0.2881809774816002,9.147531573722063,4.765771290572502,15.273113879366065,19.766840479807797,CSOR,us-csor
111,2014M04,41682.0,6994.6187994521815,34687.70008505432,0.246886236915822,0.2480130211572007,0.2466590290072901,102.65446879816591,17.304647623579513,85.34982117459003,,2945.4735574268866,4049.145242025295,9742.09565254216,6901.979138352544,0.33977324682739063,0.1813691687741592,0.2278018122861214,0.3348811864527734,9.974042014120187,7.330605609459326,22.14223004980522,23.03628544123694,CSOR,us-csor
112,2014M05,41795.0,7015.755865314697,34779.17061447876,0.270156743435912,0.3021903904780521,0.2636973025024858,112.60759528695053,21.137065862515556,91.47052942444134,,2957.2587008083005,4058.497164506397,9764.9720561153,6931.4076323150875,0.4001103099940728,0.2309604107069374,0.23482014947338037,0.42637761390811324,11.785143381413945,9.351922481102065,22.876403573140124,29.428493962543143,CSOR,us-csor
113,2014M06,41911.0,7034.866925532462,34875.784983674646,0.27688870195670123,0.2724020131921634,0.2777937699171673,115.72542941365828,19.111060217765043,96.61436919588596,,2970.828960678921,4064.037964853542,9793.212999404253,6959.929268376267,0.4588797005453449,0.13652345000021437,0.2892065960523382,0.4114840386562735,13.570259870620248,5.5408003471447955,28.24094328895262,28.52163606117938,CSOR,us-csor
